spec,geovar,term,coef,se,stat,p,n,collin,err,palier,mesure
spec9,polity_dist,pair_nato::intra:polity_dist,-0.00877930583077766,0.0161469814356964,-0.543711892265454,0.586639747556723,415927,"","",B,(palier commun)
spec9,sanction_nontrade,pair_nato::non:sanction_nontrade,-0.0607947979090063,0.109849452893168,-0.553437421014115,0.579963920679188,415927,"","",B,(palier commun)
spec9,sanction_nontrade,pair_nato::inter:sanction_nontrade,0.0133529351831628,0.059463816223528,0.224555637885203,0.822324979296858,415927,"","",B,(palier commun)
spec9,sanction_nontrade,pair_nato::intra:sanction_nontrade,0.151804450346103,0.0675755028508675,2.24644203804329,0.0246757082346662,415927,"","",B,(palier commun)
spec9,n_common_sanctioners,pair_nato::non:n_common_sanctioners,0.0339022787638324,0.0419466869015795,0.808223039006111,0.418962197188088,415927,"","",B,(palier commun)
spec9,n_common_sanctioners,pair_nato::inter:n_common_sanctioners,-0.0194613168802907,0.037285803236168,-0.521949782254197,0.601705295607729,415927,"","",B,(palier commun)
spec9,n_common_sanctioners,pair_nato::intra:n_common_sanctioners,-0.0235098162584671,0.0365935000063898,-0.642458804278409,0.520575329114046,415927,"","",B,(palier commun)
spec10,ipd,period::1995-2007:ipd,0.0861689996497245,0.0169541233693969,5.08248039561068,3.72537770919237e-07,534884,"","",B,(palier commun)
spec10,ipd,period::2008-2013:ipd,0.0418762299020915,0.015585682036198,2.68683974206796,0.00721315512054842,534884,"","",B,(palier commun)
spec10,ipd,period::2014-2017:ipd,-0.0127467801955712,0.016089289573379,-0.792252519133085,0.428213450992741,534884,"","",B,(palier commun)
spec10,ipd,period::2018-2021:ipd,-0.0352219479030038,0.0186144606303811,-1.89218203000291,0.0584667317907926,534884,"","",B,(palier commun)
spec10,polyarchy_dist,period::1995-2007:polyarchy_dist,0.178296890884411,0.0651689050357121,2.73591969646728,0.00622062043461024,534884,"","",B,(palier commun)
spec10,polyarchy_dist,period::2008-2013:polyarchy_dist,0.108470225136544,0.0651318464458021,1.66539459658656,0.095834056734381,534884,"","",B,(palier commun)
spec10,polyarchy_dist,period::2014-2017:polyarchy_dist,-0.0471149598802577,0.0614212723933803,-0.767078864444619,0.443034627404107,534884,"","",B,(palier commun)
spec10,polyarchy_dist,period::2018-2021:polyarchy_dist,-0.0872181611393395,0.0633733079689484,-1.37626019430885,0.168741091949459,534884,"","",B,(palier commun)
spec10,polity_dist,period::1995-2007:polity_dist,0.00971221629905919,0.00228362757268848,4.25297733098622,2.10946938143488e-05,534884,"","",B,(palier commun)
spec10,polity_dist,period::2008-2013:polity_dist,0.00710496726312927,0.0023269910613261,3.05328515489883,0.00226350737512839,534884,"","",B,(palier commun)
spec10,polity_dist,period::2014-2017:polity_dist,-0.000156815665190135,0.00224871113908563,-0.0697357977485267,0.944403948643502,534884,"","",B,(palier commun)
spec10,polity_dist,period::2018-2021:polity_dist,-0.000583950660819141,0.00242908725653258,-0.240399211369914,0.810020789518148,534884,"","",B,(palier commun)
spec10,sanction_nontrade,period::1995-2007:sanction_nontrade,0.0228358919628296,0.0222373044676025,1.02691816789662,0.304458998653503,534884,"","",B,(palier commun)
spec10,sanction_nontrade,period::2008-2013:sanction_nontrade,0.0194608135102918,0.0234229163935807,0.830845023023062,0.406061184527545,534884,"","",B,(palier commun)
spec10,sanction_nontrade,period::2014-2017:sanction_nontrade,-0.0820856277072224,0.0277672956533895,-2.95619813797756,0.00311456938031268,534884,"","",B,(palier commun)
spec10,sanction_nontrade,period::2018-2021:sanction_nontrade,-0.155560698969827,0.0323558745677163,-4.80780387018317,1.52597363646247e-06,534884,"","",B,(palier commun)
spec10,n_common_sanctioners,period::1995-2007:n_common_sanctioners,-0.000926157342991154,0.0148823737449878,-0.0622318293345558,0.950378215461398,534884,"","",B,(palier commun)
spec10,n_common_sanctioners,period::2008-2013:n_common_sanctioners,-0.00580384920248483,0.0158103108907973,-0.367092667726292,0.713549896395414,534884,"","",B,(palier commun)
spec10,n_common_sanctioners,period::2014-2017:n_common_sanctioners,0.0456658092088291,0.0178681246242793,2.55571360560012,0.0105970297707682,534884,"","",B,(palier commun)
spec10,n_common_sanctioners,period::2018-2021:n_common_sanctioners,0.0712929134460705,0.0283602607124603,2.51383138430556,0.0119427518232635,534884,"","",B,(palier commun)
rob1,ipd,ipd,-0.0435498545729136,0.0241626945605002,-1.80235918903294,0.0714889117102399,534884,"","",B,(palier commun)
