term,estimate,se,stat,p,rel_time,bucket,direction,ci_lo,ci_hi
year::-3,0.0284328404863272,0.0532144479672223,0.534306782696318,0.59312930029176,-3,total,RUS_importateur,-0.0758674775294285,0.132733158502083
year::-2,0.030405756814387,0.0281118602776672,1.08159888794489,0.279430798873709,-2,total,RUS_importateur,-0.0246934893298407,0.0855050029586148
year::0,-0.0904435732218906,0.0367834728404704,-2.45881006434992,0.0139398345020101,0,total,RUS_importateur,-0.162539179989213,-0.0183479664545687
year::1,-0.262630081952583,0.0600563012800459,-4.37306454701438,1.2251448136913e-05,1,total,RUS_importateur,-0.380340432461473,-0.144919731443693
year::2,-0.235252625887499,0.0749637954735125,-3.13821658043746,0.00169979229636969,2,total,RUS_importateur,-0.382181665015584,-0.0883235867594147
year::3,-0.282725580151994,0.0686747736696725,-4.11687676630594,3.84041284302447e-05,3,total,RUS_importateur,-0.417328136544552,-0.148123023759436
year::4,-0.399425104291801,0.0681059135432309,-5.86476391713418,4.49772175632544e-09,4,total,RUS_importateur,-0.532912694836534,-0.265937513747069
year::5,-0.891499085266613,0.111914382636955,-7.96590272189228,1.6402193773195e-15,5,total,RUS_importateur,-1.11085127523504,-0.672146895298181
year::-5,0.0461912530023162,0.150175044163202,0.307582749582003,0.758399848093939,-5,embargo,RUS_importateur,-0.248151833557559,0.340534339562192
year::-4,-0.215645672440936,0.154792841334106,-1.39312432398269,0.163582198785559,-4,embargo,RUS_importateur,-0.519039641455784,0.087748296573911
year::-3,-0.147146636583185,0.146970333824027,-1.0011995805859,0.316730329290173,-3,embargo,RUS_importateur,-0.435208490878277,0.140915217711907
year::-2,0.032519886030005,0.0790895957967636,0.411177800346474,0.680942165182414,-2,embargo,RUS_importateur,-0.122495721731652,0.187535493791662
year::0,0.0226780329548342,0.161098883523273,0.1407708884063,0.888050941700907,0,embargo,RUS_importateur,-0.293075778750782,0.33843184466045
year::1,-0.289802678554607,0.196937394003733,-1.47154723977465,0.141143181917808,1,embargo,RUS_importateur,-0.675799970801924,0.0961946136927099
year::2,-0.12293238974927,0.187389807904843,-0.656024952070474,0.511808069718331,2,embargo,RUS_importateur,-0.490216413242762,0.244351633744222
year::3,-0.32939783581563,0.183087223303626,-1.79913065407829,0.0719980156624589,3,embargo,RUS_importateur,-0.688248793490737,0.0294531218594764
year::4,-0.461440790049003,0.154555017821951,-2.98560859784305,0.00283014627437775,4,embargo,RUS_importateur,-0.764368624980028,-0.158512955117979
year::5,-1.36608658861123,0.171511187580617,-7.9649998806586,1.65223937077632e-15,5,embargo,RUS_importateur,-1.70224851626924,-1.02992466095322
year::-5,0.645427904208839,0.16989826304171,3.7989081974922,0.000145334908764493,-5,strategic_ne,RUS_importateur,0.312427308647087,0.97842849977059
year::-4,0.262794151458521,0.133158191977523,1.97354851065326,0.0484331033754246,-4,strategic_ne,RUS_importateur,0.00180409518257629,0.523784207734465
year::-3,-0.0266658591355288,0.116407838033769,-0.229072711820257,0.818812402386227,-3,strategic_ne,RUS_importateur,-0.254825221681717,0.201493503410659
year::-2,0.123540496640777,0.0780367202989569,1.58310723679182,0.113397024449827,-2,strategic_ne,RUS_importateur,-0.029411475145178,0.276492468426733
year::0,-0.00697696596069105,0.0743505315861347,-0.093838817448242,0.925237195852385,0,strategic_ne,RUS_importateur,-0.152704007869515,0.138750075948133
year::1,-0.119176766928952,0.146685161815744,-0.812466410737943,0.416524052744175,1,strategic_ne,RUS_importateur,-0.406679684087811,0.168326150229907
year::2,-0.33155762053619,0.185370429207286,-1.78862196065497,0.0736757186854591,2,strategic_ne,RUS_importateur,-0.694883661782471,0.0317684207100916
year::3,-0.377198546993071,0.200000592799803,-1.88598714490132,0.0592966869815729,3,strategic_ne,RUS_importateur,-0.769199708880684,0.014802614894542
year::4,-0.34526772662851,0.150432866838129,-2.29516151546876,0.0217238697799159,4,strategic_ne,RUS_importateur,-0.640116145631243,-0.0504193076257771
year::5,-0.301814224452512,0.244144568392966,-1.23621109590578,0.216380107290777,5,strategic_ne,RUS_importateur,-0.780337578502725,0.176709129597701
year::-5,0.296638158854985,0.0662861614939672,4.47511444575023,7.63703942503723e-06,-5,nonstrat_ne,RUS_importateur,0.16671728232681,0.426559035383161
year::-4,0.0601707427230667,0.0380861618484124,1.57985840008121,0.114139297844001,-4,nonstrat_ne,RUS_importateur,-0.0144781344998215,0.134819619945955
year::-3,0.041951037151088,0.0440436097010899,0.952488622885283,0.34084923315553,-3,nonstrat_ne,RUS_importateur,-0.0443744378630482,0.128276512165224
year::-2,0.0251710334599395,0.0269201716392529,0.935024998995069,0.34977541627862,-2,nonstrat_ne,RUS_importateur,-0.0275925029529961,0.0779345698728751
year::0,-0.117877655872959,0.0256080843622329,-4.60314228138074,4.16163707464901e-06,0,nonstrat_ne,RUS_importateur,-0.168069501222936,-0.0676858105229828
year::1,-0.259905868198583,0.0506594277495005,-5.13045408810695,2.89044055183729e-07,1,nonstrat_ne,RUS_importateur,-0.359198346587604,-0.160613389809562
year::2,-0.242394088673644,0.067448206496673,-3.5937810842398,0.000325913697813642,2,nonstrat_ne,RUS_importateur,-0.374592573407123,-0.110195603940165
year::3,-0.268447500317146,0.0646572726707702,-4.15185313621346,3.29793885150021e-05,3,nonstrat_ne,RUS_importateur,-0.395175754751856,-0.141719245882436
year::4,-0.389058877219804,0.0689851360759285,-5.6397493626973,1.70297864239339e-08,4,nonstrat_ne,RUS_importateur,-0.524269743928624,-0.253848010510984
year::5,-0.838844963264556,0.107706885902363,-7.78822037455412,6.79595752061529e-15,5,nonstrat_ne,RUS_importateur,-1.04995045963319,-0.627739466895925
